Time(UTC),Lat(°),Lon(°),PM1(μg/m³),PM2.5(μg/m³),PM10(μg/m³),NO2(μg/m³),Sensor_number
2022-02-06,51.4379,5.3581,6.79,10.16,17.46,19.0,2
2022-02-26,51.4379,5.3581,7.39,11.79,19.5,18.0,2
2022-02-17,51.4379,5.3581,4.22,6.13,9.91,9.0,2
2022-02-09,51.4379,5.3581,6.37,8.77,14.87,15.0,2
2022-02-23,51.4379,5.3581,11.64,19.33,32.62,18.0,2
2022-01-13,51.4379,5.3581,32.21,38.38,41.78,34.0,2
2022-02-02,51.4379,5.3581,8.56,12.88,21.2,17.0,2
2022-01-21,51.4379,5.3581,7.55,11.9,18.4,8.0,2
2022-01-28,51.4379,5.3581,19.53,24.2,31.23,15.0,2
2022-01-09,51.4379,5.3581,7.5,9.45,13.19,12.0,2
2022-01-03,51.4379,5.3581,6.11,8.4,13.91,6.0,2
2022-01-07,51.4379,5.3581,11.35,16.6,25.01,21.0,2
2022-01-10,51.4379,5.3581,9.87,14.65,22.15,11.0,2
2022-02-27,51.4379,5.3581,18.19,24.48,33.88,34.0,2
2022-02-20,51.4379,5.3581,5.0,8.27,14.93,33.0,2
2022-01-17,51.4379,5.3581,35.09,47.08,51.46,12.0,2
2022-01-19,51.4379,5.3581,16.99,22.98,29.94,18.0,2
2022-01-11,51.4379,5.3581,24.19,27.57,30.33,27.0,2
2022-01-24,51.4379,5.3581,33.86,37.57,43.62,22.0,2
2022-01-26,51.4379,5.3581,36.75,53.98,59.39,27.0,2
2022-02-25,51.4379,5.3581,4.44,7.06,12.99,20.0,2
2022-01-05,51.4379,5.3581,7.84,9.82,13.83,12.0,2
2022-02-18,51.4379,5.3581,9.69,15.14,23.75,22.0,2
2022-02-05,51.4379,5.3581,7.93,9.32,12.95,16.0,2
2022-02-24,51.4379,5.3581,7.77,12.11,20.83,14.0,2
2022-01-06,51.4379,5.3581,7.6,11.87,19.27,10.0,2
2022-01-12,51.4379,5.3581,25.25,29.42,33.28,31.0,2
2022-02-22,51.4379,5.3581,8.31,13.67,23.83,23.0,2
2022-02-07,51.4379,5.3581,3.24,5.25,10.27,15.0,2
2022-03-01,51.4379,5.3581,14.57,16.75,20.8,51.0,2
2022-02-19,51.4379,5.3581,7.39,11.81,19.82,27.0,2
2022-02-03,51.4379,5.3581,15.8,21.34,30.82,20.0,2
2022-01-23,51.4379,5.3581,20.87,24.07,30.88,12.0,2
2022-02-10,51.4379,5.3581,7.45,8.5,11.58,17.0,2
2022-02-11,51.4379,5.3581,14.34,17.66,23.09,19.0,2
2022-01-27,51.4379,5.3581,32.55,59.28,66.49,32.0,2
2022-01-20,51.4379,5.3581,24.33,28.82,34.82,19.0,2
2022-02-12,51.4379,5.3581,9.1,13.17,20.83,22.0,2
2022-01-08,51.4379,5.3581,6.84,9.05,13.51,12.0,2
2022-01-04,51.4379,5.3581,6.9,10.71,18.2,8.0,2
2022-02-04,51.4379,5.3581,13.87,16.36,22.07,13.0,2
2022-01-25,51.4379,5.3581,34.81,38.98,39.63,13.0,2
2022-01-18,51.4379,5.3581,19.64,26.6,37.77,15.0,2
2022-02-16,51.4379,5.3581,6.87,9.26,14.53,23.0,2
2022-01-15,51.4379,5.3581,27.15,31.65,35.38,26.0,2
2022-01-29,51.4379,5.3581,17.12,23.0,31.62,23.0,2
2022-02-01,51.4379,5.3581,11.19,18.55,30.29,11.0,2
2022-02-15,51.4379,5.3581,3.93,5.84,11.02,20.0,2
2022-01-22,51.4379,5.3581,6.78,10.47,18.81,15.0,2
2022-01-02,51.4379,5.3581,8.49,10.9,15.91,6.0,2
2022-01-16,51.4379,5.3581,34.35,39.94,38.96,22.0,2
2022-02-13,51.4379,5.3581,12.08,16.21,23.04,22.0,2
2022-02-21,51.4379,5.3581,7.4,11.87,18.79,30.0,2
2022-02-08,51.4379,5.3581,6.99,10.98,19.62,20.0,2
2022-01-14,51.4379,5.3581,33.9,37.27,35.81,37.0,2
2022-01-30,51.4379,5.3581,13.95,17.44,23.65,9.0,2
2022-02-28,51.4379,5.3581,9.75,13.02,19.03,47.0,2
2022-01-01,51.4379,5.3581,21.35,27.98,36.84,7.0,2
2022-02-14,51.4379,5.3581,8.54,10.61,15.2,13.0,2
2022-01-31,51.4379,5.3581,11.39,17.92,29.37,13.0,2
2022-02-06,51.5108,5.3606,6.6,9.78,17.63,13.0,3
2022-02-25,51.5108,5.3606,5.48,8.09,15.11,19.0,3
2022-02-26,51.5108,5.3606,7.26,10.83,18.37,26.0,3
2022-01-06,51.5108,5.3606,7.18,10.93,18.24,9.0,3
2022-01-24,51.5108,5.3606,25.76,28.45,34.48,15.0,3
2022-02-12,51.5108,5.3606,7.08,10.55,18.79,26.0,3
2022-01-23,51.5108,5.3606,14.34,17.29,24.74,10.0,3
2022-01-30,51.5108,5.3606,12.31,15.28,22.03,6.0,3
2022-01-29,51.5108,5.3606,14.15,18.85,27.94,22.0,3
2022-01-08,51.5108,5.3606,6.41,8.46,13.53,9.0,3
2022-02-13,51.5108,5.3606,9.34,13.14,21.16,27.0,3
2022-01-26,51.5108,5.3606,32.48,40.32,46.0,17.0,3
2022-02-18,51.5108,5.3606,8.61,13.46,22.26,13.0,3
2022-02-19,51.5108,5.3606,7.27,11.6,20.87,12.0,3
2022-02-05,51.5108,5.3606,6.77,7.95,12.07,10.0,3
2022-01-14,51.5108,5.3606,23.71,25.5,27.1,28.0,3
2022-02-08,51.5108,5.3606,6.87,10.43,18.7,15.0,3
2022-01-12,51.5108,5.3606,17.93,20.49,25.2,25.0,3
2022-02-03,51.5108,5.3606,13.52,18.71,28.01,20.0,3
2022-01-16,51.5108,5.3606,26.01,29.02,29.44,22.0,3
2022-01-20,51.5108,5.3606,18.18,21.73,27.99,12.0,3
2022-02-16,51.5108,5.3606,6.46,8.76,14.91,19.0,3
2022-01-02,51.5108,5.3606,7.55,9.99,16.54,5.0,3
2022-01-18,51.5108,5.3606,13.3,18.88,30.05,14.0,3
2022-02-22,51.5108,5.3606,7.89,12.79,22.03,11.0,3
2022-02-10,51.5108,5.3606,7.77,8.76,12.6,14.0,3
2022-01-15,51.5108,5.3606,20.09,23.11,27.28,18.0,3
2022-02-07,51.5108,5.3606,4.06,5.91,10.54,4.0,3
2022-01-04,51.5108,5.3606,7.55,11.27,19.09,6.0,3
2022-01-27,51.5108,5.3606,31.17,47.22,53.33,28.0,3
2022-03-01,51.5108,5.3606,11.46,13.92,17.97,44.0,3
2022-02-28,51.5108,5.3606,8.06,10.78,17.03,33.0,3
2022-02-17,51.5108,5.3606,4.73,6.48,10.7,5.0,3
2022-01-07,51.5108,5.3606,9.65,14.54,24.43,18.0,3
2022-01-11,51.5108,5.3606,17.18,19.7,23.73,21.0,3
2022-02-09,51.5108,5.3606,7.04,9.62,16.49,14.0,3
2022-01-09,51.5108,5.3606,5.81,7.4,11.54,9.0,3
2022-01-10,51.5108,5.3606,8.78,12.86,20.9,9.0,3
2022-01-22,51.5108,5.3606,6.56,9.98,17.85,18.0,3
2022-01-21,51.5108,5.3606,6.69,10.13,16.68,7.0,3
2022-02-11,51.5108,5.3606,11.34,13.93,19.86,20.0,3
2022-01-25,51.5108,5.3606,26.82,28.86,31.79,12.0,3
2022-01-01,51.5108,5.3606,12.0,20.7,27.79,4.0,3
2022-02-21,51.5108,5.3606,7.35,11.28,17.7,11.0,3
2022-02-27,51.5108,5.3606,13.95,20.08,30.5,32.0,3
2022-01-19,51.5108,5.3606,15.7,22.08,31.5,16.0,3
2022-02-20,51.5108,5.3606,5.71,8.74,16.02,19.0,3
2022-01-17,51.5108,5.3606,28.51,35.0,40.07,14.0,3
2022-02-14,51.5108,5.3606,7.17,9.16,15.04,9.0,3
2022-01-03,51.5108,5.3606,6.1,8.43,15.15,5.0,3
2022-01-28,51.5108,5.3606,14.92,18.0,24.93,13.0,3
2022-02-04,51.5108,5.3606,11.69,13.89,20.05,10.0,3
2022-01-13,51.5108,5.3606,25.64,29.77,34.55,27.0,3
2022-02-01,51.5108,5.3606,9.22,15.12,25.3,6.0,3
2022-02-23,51.5108,5.3606,10.57,17.44,29.75,18.0,3
2022-02-15,51.5108,5.3606,5.1,7.21,13.15,14.0,3
2022-01-31,51.5108,5.3606,9.87,15.85,27.64,13.0,3
2022-02-24,51.5108,5.3606,7.35,11.16,20.68,16.0,3
2022-01-05,51.5108,5.3606,6.75,8.31,12.53,9.0,3
2022-02-02,51.5108,5.3606,7.99,11.86,19.79,16.0,3
2022-03-01,51.4915,5.4392,8.84,10.32,14.24,47.0,4
2022-01-05,51.4915,5.4392,5.24,6.74,11.02,20.0,4
2022-01-31,51.4915,5.4392,8.65,14.51,26.85,24.0,4
2022-01-19,51.4915,5.4392,12.55,17.7,25.51,20.0,4
2022-01-12,51.4915,5.4392,16.84,19.42,23.68,27.0,4
2022-02-07,51.4915,5.4392,2.93,4.76,9.88,11.0,4
2022-01-25,51.4915,5.4392,25.32,27.4,29.68,16.0,4
2022-01-22,51.4915,5.4392,5.64,9.07,17.4,25.0,4
2022-02-25,51.4915,5.4392,3.99,6.62,13.15,33.0,4
2022-01-02,51.4915,5.4392,5.9,8.29,14.44,9.0,4
2022-02-22,51.4915,5.4392,7.06,12.24,22.39,13.0,4
2022-01-14,51.4915,5.4392,23.87,25.33,25.52,22.0,4
2022-02-24,51.4915,5.4392,5.98,9.69,18.93,22.0,4
2022-01-06,51.4915,5.4392,6.1,9.87,17.26,16.0,4
2022-01-26,51.4915,5.4392,30.74,40.06,45.39,23.0,4
2022-02-04,51.4915,5.4392,9.35,11.64,17.97,13.0,4
2022-02-28,51.4915,5.4392,7.04,9.58,14.83,41.0,4
2022-01-30,51.4915,5.4392,10.25,13.24,19.85,13.0,4
2022-01-11,51.4915,5.4392,16.69,19.28,23.28,21.0,4
2022-01-21,51.4915,5.4392,6.01,9.48,16.24,21.0,4
2022-02-18,51.4915,5.4392,6.92,11.96,22.07,24.0,4
2022-02-11,51.4915,5.4392,9.4,11.99,17.66,27.0,4
2022-02-19,51.4915,5.4392,5.92,10.28,20.74,26.0,4
2022-02-16,51.4915,5.4392,4.9,7.11,13.23,28.0,4
2022-01-24,51.4915,5.4392,23.24,26.23,31.63,17.0,4
2022-01-17,51.4915,5.4392,27.4,34.71,39.54,18.0,4
2022-02-09,51.4915,5.4392,4.69,7.16,14.04,20.0,4
2022-02-06,51.4915,5.4392,5.76,9.01,16.98,13.0,4
2022-01-23,51.4915,5.4392,12.86,15.99,24.02,19.0,4
2022-01-03,51.4915,5.4392,4.1,6.3,12.93,10.0,4
2022-02-17,51.4915,5.4392,3.16,4.82,9.25,8.0,4
2022-02-01,51.4915,5.4392,9.0,15.86,27.82,21.0,4
2022-02-08,51.4915,5.4392,5.63,9.35,18.09,21.0,4
2022-01-01,51.4915,5.4392,16.73,22.09,34.41,7.0,4
2022-02-23,51.4915,5.4392,9.39,16.35,29.11,17.0,4
2022-02-02,51.4915,5.4392,6.69,10.75,19.36,19.0,4
2022-01-16,51.4915,5.4392,25.9,29.39,30.08,23.0,4
2022-01-09,51.4915,5.4392,6.04,7.73,11.9,11.0,4
2022-01-10,51.4915,5.4392,7.83,11.68,18.89,13.0,4
2022-01-13,51.4915,5.4392,24.31,28.59,33.14,27.0,4
2022-02-21,51.4915,5.4392,6.16,9.96,16.61,19.0,4
2022-02-15,51.4915,5.4392,3.04,4.99,11.21,34.0,4
2022-01-28,51.4915,5.4392,14.14,17.55,23.86,16.0,4
2022-01-07,51.4915,5.4392,8.34,12.89,21.92,20.0,4
2022-02-10,51.4915,5.4392,4.85,5.68,9.23,23.0,4
2022-01-18,51.4915,5.4392,12.97,18.63,29.47,23.0,4
2022-02-13,51.4915,5.4392,8.49,11.99,19.1,32.0,4
2022-02-14,51.4915,5.4392,5.89,8.0,13.94,29.0,4
2022-01-08,51.4915,5.4392,5.66,7.79,12.86,14.0,4
2022-02-05,51.4915,5.4392,5.67,6.88,10.86,13.0,4
2022-01-27,51.4915,5.4392,28.34,47.11,52.59,26.0,4
2022-02-20,51.4915,5.4392,4.5,7.63,14.97,31.0,4
2022-01-04,51.4915,5.4392,5.37,9.02,16.99,15.0,4
2022-01-29,51.4915,5.4392,12.16,16.84,25.63,22.0,4
2022-02-26,51.4915,5.4392,6.2,9.88,17.35,27.0,4
2022-01-20,51.4915,5.4392,17.88,21.56,27.92,22.0,4
2022-02-27,51.4915,5.4392,12.97,18.45,27.46,30.0,4
2022-02-12,51.4915,5.4392,8.42,12.15,19.95,31.0,4
2022-01-15,51.4915,5.4392,19.23,22.03,26.22,23.0,4
2022-02-03,51.4915,5.4392,11.69,17.0,27.03,22.0,4
2022-01-07,51.4025,5.3514,13.31,17.8,27.16,30.0,5
2022-02-09,51.4025,5.3514,8.87,11.01,17.68,19.0,5
2022-01-01,51.4025,5.3514,25.41,31.89,41.88,7.0,5
2022-02-20,51.4025,5.3514,8.11,11.24,19.17,31.0,5
2022-01-25,51.4025,5.3514,35.07,39.25,40.25,11.0,5
2022-01-30,51.4025,5.3514,16.77,20.14,27.24,13.0,5
2022-01-10,51.4025,5.3514,13.56,17.8,26.44,16.0,5
2022-02-06,51.4025,5.3514,9.1,12.25,20.62,18.0,5
2022-02-05,51.4025,5.3514,10.35,11.68,15.57,19.0,5
2022-02-10,51.4025,5.3514,10.33,11.23,14.66,16.0,5
2022-01-06,51.4025,5.3514,9.84,13.87,22.62,28.0,5
2022-01-15,51.4025,5.3514,27.5,31.67,35.96,22.0,5
2022-01-20,51.4025,5.3514,26.11,30.25,37.01,19.0,5
2022-01-24,51.4025,5.3514,35.5,38.83,45.37,10.0,5
2022-01-31,51.4025,5.3514,13.52,19.52,32.34,22.0,5
2022-02-08,51.4025,5.3514,9.46,13.25,22.38,24.0,5
2022-01-23,51.4025,5.3514,24.87,27.78,35.67,12.0,5
2022-02-19,51.4025,5.3514,9.8,13.92,23.91,26.0,5
2022-02-23,51.4025,5.3514,13.73,20.59,36.37,18.0,5
2022-02-24,51.4025,5.3514,10.31,13.92,23.09,16.0,5
2022-02-07,51.4025,5.3514,5.75,7.47,12.21,18.0,5
2022-03-01,51.4025,5.3514,17.42,19.49,24.17,54.0,5
2022-02-15,51.4025,5.3514,7.36,9.15,14.56,33.0,5
2022-01-11,51.4025,5.3514,26.22,29.32,32.34,16.0,5
2022-01-05,51.4025,5.3514,9.74,11.49,15.96,27.0,5
2022-01-29,51.4025,5.3514,19.24,24.51,34.41,36.0,5
2022-01-09,51.4025,5.3514,9.96,11.7,16.05,13.0,5
2022-02-22,51.4025,5.3514,10.86,16.09,27.77,27.0,5
2022-02-18,51.4025,5.3514,12.19,17.62,28.87,30.0,5
2022-01-26,51.4025,5.3514,36.92,51.86,59.16,28.0,5
2022-01-12,51.4025,5.3514,26.5,30.6,35.64,23.0,5
2022-01-02,51.4025,5.3514,10.83,12.84,18.5,6.0,5
2022-02-21,51.4025,5.3514,10.14,14.27,22.52,30.0,5
2022-02-02,51.4025,5.3514,10.98,15.06,25.02,24.0,5
2022-01-18,51.4025,5.3514,22.51,29.25,42.15,30.0,5
2022-02-03,51.4025,5.3514,18.28,23.56,34.59,21.0,5
2022-02-01,51.4025,5.3514,13.69,20.82,37.72,26.0,5
2022-02-16,51.4025,5.3514,9.43,11.65,17.67,35.0,5
2022-02-17,51.4025,5.3514,7.01,8.87,13.16,14.0,5
2022-01-04,51.4025,5.3514,9.54,13.1,21.22,22.0,5
2022-01-27,51.4025,5.3514,31.58,57.07,68.68,35.0,5
2022-02-26,51.4025,5.3514,11.1,15.21,24.19,16.0,5
2022-02-12,51.4025,5.3514,14.06,18.47,28.11,20.0,5
2022-02-25,51.4025,5.3514,7.4,9.74,16.43,23.0,5
2022-02-28,51.4025,5.3514,12.94,15.84,22.1,53.0,5
2022-01-28,51.4025,5.3514,21.59,26.09,33.87,30.0,5
2022-01-08,51.4025,5.3514,10.14,12.27,17.3,17.0,5
2022-01-13,51.4025,5.3514,31.91,37.2,41.25,25.0,5
2022-02-04,51.4025,5.3514,16.69,18.99,25.49,12.0,5
2022-01-22,51.4025,5.3514,8.92,12.18,21.26,18.0,5
2022-01-19,51.4025,5.3514,19.04,24.02,32.27,23.0,5
2022-01-14,51.4025,5.3514,33.21,36.18,35.16,24.0,5
2022-01-16,51.4025,5.3514,33.85,38.71,38.63,37.0,5
2022-02-13,51.4025,5.3514,14.1,17.69,25.94,23.0,5
2022-02-27,51.4025,5.3514,20.45,26.07,37.02,39.0,5
2022-02-11,51.4025,5.3514,17.33,20.47,26.46,17.0,5
2022-01-03,51.4025,5.3514,8.86,10.89,16.69,9.0,5
2022-01-21,51.4025,5.3514,9.59,13.53,21.86,17.0,5
2022-02-14,51.4025,5.3514,11.36,13.28,19.16,23.0,5
2022-01-17,51.4025,5.3514,34.74,46.38,53.02,27.0,5
2022-01-08,51.4569,5.4383,5.74,7.26,11.96,17.0,7
2022-02-07,51.4569,5.4383,3.27,4.84,10.16,11.0,7
2022-01-21,51.4569,5.4383,6.15,9.25,16.35,17.0,7
2022-02-21,51.4569,5.4383,6.04,9.28,16.68,16.0,7
2022-01-09,51.4569,5.4383,6.01,7.26,11.06,15.0,7
2022-01-23,51.4569,5.4383,14.58,16.82,23.55,14.0,7
2022-02-22,51.4569,5.4383,7.17,11.54,21.94,16.0,7
2022-01-22,51.4569,5.4383,5.49,7.95,15.93,21.0,7
2022-03-01,51.4569,5.4383,10.17,11.6,15.39,28.0,7
2022-02-09,51.4569,5.4383,4.72,6.5,13.15,17.0,7
2022-02-25,51.4569,5.4383,4.09,5.95,12.48,20.0,7
2022-02-26,51.4569,5.4383,6.05,8.93,16.48,24.0,7
2022-02-14,51.4569,5.4383,6.58,8.2,13.77,10.0,7
2022-02-18,51.4569,5.4383,6.89,11.29,21.46,16.0,7
2022-01-26,51.4569,5.4383,30.28,41.73,48.31,27.0,7
2022-01-12,51.4569,5.4383,18.2,21.0,25.0,34.0,7
2022-01-14,51.4569,5.4383,25.85,28.19,27.88,35.0,7
2022-01-18,51.4569,5.4383,14.49,19.13,29.68,18.0,7
2022-02-03,51.4569,5.4383,11.57,16.06,26.34,21.0,7
2022-01-04,51.4569,5.4383,5.24,8.23,15.87,11.0,7
2022-02-28,51.4569,5.4383,8.01,10.35,16.39,26.0,7
2022-02-12,51.4569,5.4383,6.64,9.57,17.59,28.0,7
2022-01-02,51.4569,5.4383,5.59,7.33,13.54,10.0,7
2022-01-27,51.4569,5.4383,27.28,46.53,54.47,30.0,7
2022-01-29,51.4569,5.4383,12.64,16.61,25.35,24.0,7
2022-01-17,51.4569,5.4383,27.79,35.62,40.45,14.0,7
2022-02-01,51.4569,5.4383,8.99,14.85,28.7,12.0,7
2022-02-16,51.4569,5.4383,5.37,7.11,12.84,21.0,7
2022-02-17,51.4569,5.4383,3.35,4.79,8.95,11.0,7
2022-02-02,51.4569,5.4383,6.88,10.18,18.49,18.0,7
2022-01-28,51.4569,5.4383,14.98,18.15,24.8,16.0,7
2022-01-13,51.4569,5.4383,24.65,28.86,32.87,34.0,7
2022-01-16,51.4569,5.4383,26.18,30.06,30.9,26.0,7
2022-01-03,51.4569,5.4383,4.29,5.99,12.27,9.0,7
2022-02-27,51.4569,5.4383,13.87,18.43,28.4,29.0,7
2022-02-13,51.4569,5.4383,9.07,12.05,20.04,26.0,7
2022-01-05,51.4569,5.4383,5.3,6.56,10.55,17.0,7
2022-02-08,51.4569,5.4383,5.75,8.72,16.72,21.0,7
2022-02-11,51.4569,5.4383,10.1,12.24,17.5,24.0,7
2022-02-20,51.4569,5.4383,4.84,7.49,14.67,19.0,7
2022-02-06,51.4569,5.4383,5.53,7.95,15.54,16.0,7
2022-01-01,51.4569,5.4383,19.11,25.26,33.95,11.0,7
2022-01-07,51.4569,5.4383,8.06,11.13,19.04,27.0,7
2022-02-23,51.4569,5.4383,8.96,14.3,27.45,22.0,7
2022-01-10,51.4569,5.4383,7.67,11.05,18.55,15.0,7
2022-02-15,51.4569,5.4383,3.19,4.61,10.1,16.0,7
2022-01-20,51.4569,5.4383,19.24,22.5,28.6,21.0,7
2022-01-24,51.4569,5.4383,24.13,26.27,31.8,19.0,7
2022-02-10,51.4569,5.4383,4.37,5.02,8.26,19.0,7
2022-02-05,51.4569,5.4383,6.12,7.05,10.98,16.0,7
2022-01-30,51.4569,5.4383,10.54,13.09,19.82,11.0,7
2022-02-19,51.4569,5.4383,5.91,9.52,19.18,17.0,7
2022-01-06,51.4569,5.4383,6.18,9.31,16.59,16.0,7
2022-02-24,51.4569,5.4383,5.77,8.56,16.74,22.0,7
2022-01-25,51.4569,5.4383,26.63,29.26,31.66,20.0,7
2022-01-11,51.4569,5.4383,17.09,18.99,22.35,32.0,7
2022-01-15,51.4569,5.4383,20.34,23.24,27.3,25.0,7
2022-01-19,51.4569,5.4383,12.51,17.02,25.5,18.0,7
2022-02-04,51.4569,5.4383,9.52,11.25,16.99,15.0,7
2022-01-31,51.4569,5.4383,8.82,13.75,25.0,16.0,7
2022-02-14,51.4465,5.4483,7.05,8.84,12.98,23.0,8
2022-02-15,51.4465,5.4483,3.59,5.13,8.84,43.0,8
2022-02-16,51.4465,5.4483,5.74,7.64,11.67,28.0,8
2022-01-14,51.4465,5.4483,30.5,33.36,32.34,30.0,8
2022-01-15,51.4465,5.4483,23.77,26.7,30.01,33.0,8
2022-01-16,51.4465,5.4483,30.59,33.78,32.78,31.0,8
2022-02-20,51.4465,5.4483,5.15,7.77,12.34,54.0,8
2022-01-13,51.4465,5.4483,28.55,32.32,34.16,33.0,8
2022-03-01,51.4465,5.4483,11.39,13.0,16.47,70.0,8
2022-01-10,51.4465,5.4483,8.97,12.06,16.22,28.0,8
2022-01-20,51.4465,5.4483,22.0,25.21,29.73,27.0,8
2022-02-10,51.4465,5.4483,5.77,6.54,9.3,32.0,8
2022-02-19,51.4465,5.4483,6.67,10.41,16.23,40.0,8
2022-01-11,51.4465,5.4483,18.52,20.31,22.73,27.0,8
2022-01-19,51.4465,5.4483,16.46,21.7,27.41,41.0,8
2022-02-11,51.4465,5.4483,12.56,14.81,18.84,30.0,8
2022-02-18,51.4465,5.4483,8.12,12.45,18.07,41.0,8
2022-01-12,51.4465,5.4483,21.01,23.78,26.55,42.0,8
2022-01-18,51.4465,5.4483,17.54,22.31,28.44,42.0,8
2022-02-09,51.4465,5.4483,5.23,7.19,11.17,26.0,8
2022-02-12,51.4465,5.4483,9.11,12.46,17.42,50.0,8
2022-01-17,51.4465,5.4483,32.92,39.53,41.9,24.0,8
2022-02-17,51.4465,5.4483,3.64,5.05,8.08,5.0,8
2022-01-21,51.4465,5.4483,7.17,10.19,14.39,29.0,8
2022-01-09,51.4465,5.4483,6.21,7.57,10.63,16.0,8
2022-02-13,51.4465,5.4483,9.9,13.1,18.04,35.0,8
2022-02-21,51.4465,5.4483,6.67,9.87,14.3,32.0,8
2022-02-07,51.4465,5.4483,3.16,4.68,7.87,19.0,8
2022-02-26,51.4465,5.4483,7.46,10.74,15.66,61.0,8
2022-01-29,51.4465,5.4483,15.08,19.05,24.59,36.0,8
2022-02-02,51.4465,5.4483,7.45,10.4,14.97,29.0,8
2022-01-24,51.4465,5.4483,29.32,31.76,35.26,31.0,8
2022-01-23,51.4465,5.4483,16.21,18.32,23.03,26.0,8
2022-01-07,51.4465,5.4483,9.47,13.06,17.85,40.0,8
2022-01-02,51.4465,5.4483,6.36,8.05,11.66,15.0,8
2022-02-28,51.4465,5.4483,8.0,10.53,14.73,63.0,8
2022-01-26,51.4465,5.4483,36.75,47.56,52.07,34.0,8
2022-02-25,51.4465,5.4483,4.7,6.86,11.28,68.0,8
2022-02-22,51.4465,5.4483,7.84,12.0,17.45,19.0,8
2022-02-05,51.4465,5.4483,7.04,8.06,11.01,25.0,8
2022-01-27,51.4465,5.4483,33.25,51.01,55.7,26.0,8
2022-02-27,51.4465,5.4483,16.89,22.29,28.85,56.0,8
2022-02-01,51.4465,5.4483,10.43,16.11,22.85,24.0,8
2022-02-06,51.4465,5.4483,5.94,8.48,13.22,25.0,8
2022-01-05,51.4465,5.4483,6.09,7.31,10.28,36.0,8
2022-01-28,51.4465,5.4483,17.11,19.92,23.92,23.0,8
2022-01-01,51.4465,5.4483,25.91,32.32,38.6,20.0,8
2022-02-24,51.4465,5.4483,7.24,10.49,15.58,47.0,8
2022-01-06,51.4465,5.4483,6.52,9.23,13.11,26.0,8
2022-01-08,51.4465,5.4483,6.15,7.87,11.51,29.0,8
2022-01-25,51.4465,5.4483,31.57,34.19,35.97,33.0,8
2022-02-08,51.4465,5.4483,6.32,9.25,13.68,43.0,8
2022-01-22,51.4465,5.4483,6.67,9.34,13.61,41.0,8
2022-01-04,51.4465,5.4483,5.65,8.44,12.97,24.0,8
2022-02-03,51.4465,5.4483,14.24,18.26,22.72,43.0,8
2022-01-03,51.4465,5.4483,4.57,6.22,10.12,13.0,8
2022-01-30,51.4465,5.4483,11.97,14.35,18.38,14.0,8
2022-01-31,51.4465,5.4483,10.02,14.75,20.7,42.0,8
2022-02-04,51.4465,5.4483,11.21,13.07,17.13,25.0,8
2022-02-23,51.4465,5.4483,10.76,16.11,22.47,14.0,8
2022-02-23,51.4422,5.4844,11.39,18.51,28.1,13.0,9
2022-01-10,51.4422,5.4844,9.73,14.15,20.07,15.0,9
2022-02-26,51.4422,5.4844,8.53,12.75,19.13,26.0,9
2022-02-25,51.4422,5.4844,5.2,7.62,12.49,23.0,9
2022-02-12,51.4422,5.4844,9.19,13.08,19.49,29.0,9
2022-02-06,51.4422,5.4844,6.66,9.85,15.52,14.0,9
2022-01-27,51.4422,5.4844,36.35,52.02,56.72,26.0,9
2022-02-17,51.4422,5.4844,4.05,5.61,8.95,3.0,9
2022-02-24,51.4422,5.4844,7.65,11.65,18.26,17.0,9
2022-01-07,51.4422,5.4844,9.97,14.84,21.76,26.0,9
2022-01-17,51.4422,5.4844,33.93,39.99,43.3,6.0,9
2022-01-18,51.4422,5.4844,18.21,25.28,35.25,12.0,9
2022-02-03,51.4422,5.4844,14.92,20.19,27.5,18.0,9
2022-01-06,51.4422,5.4844,7.38,11.05,16.75,16.0,9
2022-01-25,51.4422,5.4844,31.14,32.96,34.1,15.0,9
2022-02-19,51.4422,5.4844,7.37,11.46,17.97,20.0,9
2022-01-11,51.4422,5.4844,18.34,20.48,23.25,25.0,9
2022-01-19,51.4422,5.4844,16.05,22.81,31.11,21.0,9
2022-02-04,51.4422,5.4844,10.44,12.69,17.4,13.0,9
2022-01-05,51.4422,5.4844,6.11,7.67,11.42,17.0,9
2022-01-04,51.4422,5.4844,6.42,9.88,15.53,11.0,9
2022-02-11,51.4422,5.4844,12.07,14.59,19.27,22.0,9
2022-02-05,51.4422,5.4844,7.14,8.25,11.32,13.0,9
2022-02-18,51.4422,5.4844,9.33,14.42,20.9,18.0,9
2022-02-08,51.4422,5.4844,6.96,10.51,17.3,19.0,9
2022-01-26,51.4422,5.4844,38.96,48.07,52.15,21.0,9
2022-01-24,51.4422,5.4844,28.61,31.33,36.08,16.0,9
2022-01-20,51.4422,5.4844,21.81,25.48,31.27,20.0,9
2022-01-12,51.4422,5.4844,21.91,24.28,27.1,29.0,9
2022-02-10,51.4422,5.4844,5.36,6.21,9.38,17.0,9
2022-02-20,51.4422,5.4844,5.81,8.9,14.19,31.0,9
2022-03-01,51.4422,5.4844,11.55,13.05,16.51,31.0,9
2022-01-08,51.4422,5.4844,6.29,8.27,12.15,16.0,9
2022-02-01,51.4422,5.4844,11.7,18.45,26.77,12.0,9
2022-01-15,51.4422,5.4844,24.42,27.26,31.17,14.0,9
2022-01-31,51.4422,5.4844,10.9,17.06,26.45,16.0,9
2022-02-16,51.4422,5.4844,5.74,7.92,12.61,19.0,9
2022-01-21,51.4422,5.4844,7.88,11.62,17.5,13.0,9
