,,"I09","I09","I09","I09","I09","I09","I11","I11","I11","I11","I11","I11","I12","I12","I12","I12","I12","I12","I24","I24","I24","I24","I24","I24","I29","I29","I29","I29","I29","I29","I30","I30","I30","I30","I30","I30","I36","I36","I36","I36","I36","I36","I39","I39","I39","I39","I39","I39"
"Time","Time","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2","Lat","Lon","PM1","PM2.5","PM10","NO2"
"UTC","Local","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
","°","°","μg/m³","μg/m³","μg/m³","μg/m³
"
2023-01-01 00:00:00,2023-01-01 01:00:00,51.4422,5.4844,14.33,19.75,23.58,5,51.4454,5.4855,11.91,15.56,22.14,36,51.4414,5.4716,12.51,18.80,31.83,14,51.4446,5.4788,11.20,15.68,29.71,24,51.4351,5.4798,12.30,16.31,32.11,5,51.4375,5.4516,8.59,13.22,22.02,19,51.4389,5.4818,14.33,18.85,25.24,27,51.4390,5.4649,15.49,20.50,31.04,22
2023-01-01 00:10:00,2023-01-01 01:10:00,51.4422,5.4844,12.26,17.60,29.85,6,51.4454,5.4855,10.14,14.48,19.51,35,51.4414,5.4716,11.94,18.21,28.75,13,,,,,,,51.4351,5.4799,10.62,14.65,29.59,12,51.4375,5.4516,7.33,10.86,18.03,16,51.4392,5.4825,11.04,15.72,20.69,29,51.4390,5.4649,13.98,19.06,32.39,21
2023-01-01 00:10:01,2023-01-01 01:10:01,,,,,,,,,,,,,,,,,,,51.4446,5.4788,11.43,15.07,29.82,24,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 00:20:00,2023-01-01 01:20:00,51.4422,5.4844,9.16,11.80,20.93,5,51.4454,5.4855,8.69,11.56,16.14,35,51.4414,5.4716,9.30,14.90,27.04,13,51.4445,5.4788,9.27,14.55,22.12,24,51.4351,5.4798,9.47,13.93,28.20,,,,,,,,51.4390,5.4826,9.05,12.47,18.13,31,51.4390,5.4649,13.79,17.72,27.79,20
2023-01-01 00:20:01,2023-01-01 01:20:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4516,6.91,11.42,20.49,21,,,,,,,,,,,,
2023-01-01 00:30:00,2023-01-01 01:30:00,51.4422,5.4844,10.41,13.80,23.38,4,51.4454,5.4855,8.38,11.37,19.11,36,,,,,,,,,,,,,51.4351,5.4798,6.51,10.66,19.47,2,51.4375,5.4516,5.82,10.43,15.91,20,51.4390,5.4826,8.43,12.19,18.25,31,,,,,,
2023-01-01 00:30:01,2023-01-01 01:30:01,,,,,,,,,,,,,51.4414,5.4716,8.91,13.45,24.72,12,51.4445,5.4788,7.71,12.46,20.85,23,,,,,,,,,,,,,,,,,,,51.4390,5.4649,8.13,11.81,20.95,20
2023-01-01 00:40:00,2023-01-01 01:40:00,51.4422,5.4844,10.12,14.10,28.42,5,51.4454,5.4855,7.13,9.95,17.60,37,51.4414,5.4716,7.33,11.41,21.68,11,51.4445,5.4788,6.77,10.67,19.23,22,51.4351,5.4799,6.30,9.92,15.05,4,51.4375,5.4516,5.78,9.67,15.02,21,,,,,,,51.4390,5.4649,6.66,10.58,18.10,19
2023-01-01 00:40:01,2023-01-01 01:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4390,5.4826,8.37,13.17,18.21,29,,,,,,
2023-01-01 00:50:00,2023-01-01 01:50:00,,,,,,,51.4454,5.4855,7.53,10.24,15.88,36,51.4414,5.4716,7.29,12.21,23.35,12,51.4445,5.4788,6.61,10.54,24.72,24,51.4351,5.4799,6.70,12.08,23.23,6,51.4375,5.4516,5.00,8.58,17.60,20,51.4387,5.4820,7.57,11.24,16.55,29,51.4390,5.4649,6.46,10.32,20.58,19
2023-01-01 00:50:01,2023-01-01 01:50:01,51.4422,5.4844,8.02,10.80,19.09,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 01:00:00,2023-01-01 02:00:00,51.4422,5.4844,7.75,12.04,20.75,5,,,,,,,51.4414,5.4716,6.60,9.90,19.35,12,51.4445,5.4788,7.65,10.56,17.23,24,,,,,,,51.4375,5.4517,4.99,10.36,16.79,20,51.4387,5.4820,7.93,10.84,16.34,29,51.4390,5.4649,5.55,9.29,17.57,20
2023-01-01 01:00:01,2023-01-01 02:00:01,,,,,,,51.4454,5.4855,6.56,9.52,14.83,34,,,,,,,,,,,,,51.4351,5.4799,5.98,9.43,20.78,,,,,,,,,,,,,,,,,,,
2023-01-01 01:10:00,2023-01-01 02:10:00,51.4422,5.4844,6.52,10.77,21.75,6,51.4454,5.4855,7.67,10.28,17.50,36,51.4414,5.4715,7.31,11.83,19.42,11,51.4445,5.4788,6.40,9.19,20.19,23,51.4351,5.4799,5.86,9.98,23.30,7,,,,,,,51.4385,5.4819,7.52,11.36,17.47,32,51.4390,5.4649,6.06,9.59,21.07,21
2023-01-01 01:10:01,2023-01-01 02:10:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4517,5.49,9.29,16.46,21,,,,,,,,,,,,
2023-01-01 01:20:00,2023-01-01 02:20:00,51.4422,5.4844,8.00,11.88,20.62,5,51.4454,5.4854,6.13,9.12,15.84,36,,,,,,,51.4445,5.4788,6.48,9.91,21.54,23,51.4351,5.4799,5.93,9.39,19.05,5,51.4375,5.4517,4.71,8.90,14.83,22,51.4386,5.4820,6.59,9.05,13.68,31,51.4390,5.4649,4.94,7.00,13.98,20
2023-01-01 01:20:01,2023-01-01 02:20:01,,,,,,,,,,,,,51.4414,5.4715,6.29,10.17,20.53,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 01:30:00,2023-01-01 02:30:00,51.4422,5.4844,7.14,10.18,18.44,5,51.4454,5.4854,5.45,8.16,12.98,37,,,,,,,,,,,,,51.4351,5.4798,5.28,8.84,19.78,6,51.4375,5.4517,5.11,9.96,15.46,22,51.4386,5.4820,7.58,10.34,15.83,30,,,,,,
2023-01-01 01:30:01,2023-01-01 02:30:01,,,,,,,,,,,,,51.4414,5.4715,6.27,10.45,22.98,12,51.4445,5.4788,6.78,9.51,18.49,24,,,,,,,,,,,,,,,,,,,51.4390,5.4649,5.16,7.78,12.96,21
2023-01-01 01:40:00,2023-01-01 02:40:00,51.4422,5.4844,7.01,10.69,21.23,5,51.4454,5.4854,6.91,9.69,15.51,37,51.4414,5.4715,6.69,10.53,20.80,12,51.4445,5.4788,5.60,7.76,20.41,24,51.4351,5.4798,5.26,7.58,17.62,4,51.4375,5.4517,4.90,7.76,14.76,24,,,,,,,51.4390,5.4649,4.61,7.06,13.25,21
2023-01-01 01:40:01,2023-01-01 02:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4385,5.4807,7.13,10.45,15.15,30,,,,,,
2023-01-01 01:50:00,2023-01-01 02:50:00,,,,,,,51.4454,5.4854,6.30,8.69,14.57,39,51.4414,5.4715,6.11,10.03,20.01,13,51.4445,5.4788,7.14,9.58,17.62,25,51.4351,5.4798,5.07,7.68,21.60,4,,,,,,,51.4386,5.4817,6.22,7.70,11.95,31,51.4390,5.4649,4.05,6.73,14.50,21
2023-01-01 01:50:01,2023-01-01 02:50:01,51.4422,5.4844,7.31,9.69,14.29,6,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4516,5.57,8.60,15.39,21,,,,,,,,,,,,
2023-01-01 02:00:00,2023-01-01 03:00:00,51.4422,5.4844,6.00,9.37,15.77,7,,,,,,,51.4414,5.4715,6.52,9.82,18.96,11,51.4445,5.4788,5.78,7.68,23.26,26,51.4351,5.4798,5.21,7.23,13.73,4,51.4375,5.4516,5.14,9.04,13.18,23,51.4387,5.4815,6.07,8.10,13.02,32,51.4390,5.4649,4.80,7.19,18.51,22
2023-01-01 02:00:01,2023-01-01 03:00:01,,,,,,,51.4455,5.4855,5.02,7.03,13.00,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 02:10:00,2023-01-01 03:10:00,51.4422,5.4844,6.26,10.00,13.72,6,51.4455,5.4855,5.16,7.23,13.47,38,51.4414,5.4715,6.79,9.80,19.40,11,51.4445,5.4788,4.57,7.01,12.30,26,51.4351,5.4798,4.09,6.70,17.48,4,51.4375,5.4517,4.41,7.65,14.68,23,51.4387,5.4815,5.87,7.88,12.73,33,51.4390,5.4649,4.24,6.69,15.87,22
2023-01-01 02:20:00,2023-01-01 03:20:00,51.4422,5.4844,6.30,9.03,17.32,6,51.4455,5.4855,5.29,7.64,14.15,36,51.4414,5.4715,7.08,11.23,19.47,12,,,,,,,51.4352,5.4799,4.96,6.63,15.46,4,51.4375,5.4517,4.80,7.68,12.98,22,51.4387,5.4815,5.10,7.81,14.26,33,,,,,,
2023-01-01 02:20:01,2023-01-01 03:20:01,,,,,,,,,,,,,,,,,,,51.4445,5.4788,5.76,8.34,19.77,27,,,,,,,,,,,,,,,,,,,51.4391,5.4648,4.54,6.60,14.92,23
2023-01-01 02:30:00,2023-01-01 03:30:00,51.4422,5.4844,6.32,9.65,15.56,5,51.4455,5.4855,5.40,7.59,11.88,38,,,,,,,51.4445,5.4788,6.81,9.60,17.24,27,51.4352,5.4799,4.20,6.94,13.59,4,,,,,,,51.4382,5.4813,5.69,8.74,13.33,33,51.4391,5.4648,3.64,5.56,12.12,23
2023-01-01 02:30:01,2023-01-01 03:30:01,,,,,,,,,,,,,51.4414,5.4715,5.71,9.86,18.09,11,,,,,,,,,,,,,51.4375,5.4517,4.46,6.93,11.36,21,,,,,,,,,,,,
2023-01-01 02:40:00,2023-01-01 03:40:00,51.4422,5.4844,6.54,9.21,15.07,6,51.4455,5.4855,4.97,6.77,12.09,38,51.4414,5.4715,5.90,8.29,15.85,12,51.4445,5.4788,5.23,7.81,17.25,27,51.4352,5.4799,4.49,7.10,16.62,5,51.4375,5.4516,4.75,6.99,13.40,20,,,,,,,51.4391,5.4648,3.31,5.85,10.23,24
2023-01-01 02:40:01,2023-01-01 03:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4382,5.4812,5.86,7.74,11.83,33,,,,,,
2023-01-01 02:50:00,2023-01-01 03:50:00,51.4422,5.4844,5.47,7.71,15.55,6,51.4455,5.4855,4.78,6.97,11.19,41,51.4414,5.4715,5.75,8.38,17.07,13,51.4445,5.4788,4.71,7.47,18.78,27,51.4352,5.4799,4.48,7.40,15.65,7,51.4375,5.4516,4.00,6.84,14.21,22,51.4382,5.4811,5.39,8.24,12.85,33,,,,,,
2023-01-01 02:50:01,2023-01-01 03:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4391,5.4648,3.30,5.63,9.86,23
2023-01-01 03:00:00,2023-01-01 04:00:00,51.4422,5.4844,5.40,7.74,13.89,7,51.4455,5.4855,5.05,6.68,11.34,43,51.4414,5.4715,5.56,8.96,16.87,12,51.4445,5.4788,6.16,8.28,13.63,28,51.4352,5.4799,3.87,6.19,20.64,5,51.4375,5.4516,3.58,7.73,12.83,25,51.4382,5.4811,4.94,6.85,10.07,34,51.4390,5.4649,3.54,5.46,11.22,25
2023-01-01 03:10:00,2023-01-01 04:10:00,51.4422,5.4844,6.03,8.30,13.39,6,51.4455,5.4855,4.98,6.45,11.42,42,51.4414,5.4715,4.97,8.37,15.01,12,,,,,,,,,,,,,51.4375,5.4516,4.17,6.66,11.86,24,51.4383,5.4811,5.70,8.33,11.53,35,51.4390,5.4649,3.59,5.35,11.07,25
2023-01-01 03:10:01,2023-01-01 04:10:01,,,,,,,,,,,,,,,,,,,51.4445,5.4788,5.08,7.39,11.72,29,51.4352,5.4799,3.44,5.47,10.94,,,,,,,,,,,,,,,,,,,
2023-01-01 03:20:00,2023-01-01 04:20:00,51.4422,5.4844,4.93,6.96,13.31,6,51.4454,5.4855,4.22,5.58,11.49,41,51.4414,5.4715,5.19,7.69,18.02,12,51.4445,5.4788,5.34,6.97,11.13,29,51.4352,5.4799,3.96,5.34,17.72,4,51.4375,5.4516,3.72,5.55,10.11,25,,,,,,,51.4390,5.4649,3.77,5.41,10.39,24
2023-01-01 03:20:01,2023-01-01 04:20:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4385,5.4815,5.06,7.13,11.65,35,,,,,,
2023-01-01 03:29:59,2023-01-01 04:29:59,,,,,,,,,,,,,,,,,,,,,,,,,51.4352,5.4799,3.93,5.69,9.85,4,,,,,,,,,,,,,,,,,,
2023-01-01 03:30:00,2023-01-01 04:30:00,51.4422,5.4844,5.49,7.89,13.80,6,51.4454,5.4855,3.43,5.22,10.93,40,,,,,,,51.4446,5.4788,4.85,7.82,13.62,29,,,,,,,,,,,,,51.4385,5.4815,5.77,7.33,11.06,34,51.4390,5.4649,3.14,5.23,12.51,24
2023-01-01 03:30:01,2023-01-01 04:30:01,,,,,,,,,,,,,51.4414,5.4715,5.15,7.17,13.51,12,,,,,,,,,,,,,51.4375,5.4516,3.87,6.29,12.38,26,,,,,,,,,,,,
2023-01-01 03:40:00,2023-01-01 04:40:00,51.4422,5.4844,,,,7,51.4454,5.4855,,,,42,51.4415,5.4714,,,,12,,,,,,,,,,,,,51.4375,5.4516,,,,24,51.4385,5.4815,,,,34,,,,,,
2023-01-01 03:40:01,2023-01-01 04:40:01,,,,,,,,,,,,,,,,,,,51.4446,5.4788,,,,29,51.4352,5.4799,4.05,6.17,14.60,8,,,,,,,,,,,,,51.4390,5.4649,,,,24
2023-01-01 03:50:00,2023-01-01 04:50:00,51.4422,5.4844,4.77,6.99,13.14,6,51.4454,5.4855,4.74,6.44,11.18,41,51.4415,5.4714,4.37,6.85,12.42,14,,,,,,,51.4352,5.4799,4.37,6.15,15.86,4,51.4375,5.4516,3.40,5.10,11.17,26,51.4384,5.4817,5.55,6.93,12.16,34,,,,,,
2023-01-01 03:50:01,2023-01-01 04:50:01,,,,,,,,,,,,,,,,,,,51.4446,5.4788,5.53,7.22,14.77,30,,,,,,,,,,,,,,,,,,,51.4390,5.4649,3.62,5.48,9.84,25
2023-01-01 04:00:00,2023-01-01 05:00:00,51.4422,5.4844,5.18,8.15,15.44,6,51.4454,5.4855,4.27,6.24,9.53,41,51.4415,5.4714,4.65,6.99,12.23,13,51.4446,5.4788,5.49,7.19,13.93,30,51.4352,5.4799,4.05,6.31,12.26,5,51.4375,5.4516,3.99,6.43,11.17,26,51.4385,5.4817,5.54,7.46,11.23,34,51.4390,5.4649,3.77,5.58,15.21,24
2023-01-01 04:10:00,2023-01-01 05:10:00,51.4422,5.4844,4.79,6.56,13.64,7,51.4454,5.4854,4.61,6.35,12.42,42,51.4414,5.4715,5.39,8.57,14.48,12,51.4446,5.4788,4.38,6.36,12.74,29,51.4351,5.4799,3.78,5.83,11.63,5,51.4375,5.4516,3.89,6.29,9.74,25,,,,,,,51.4390,5.4649,3.08,4.96,11.14,24
2023-01-01 04:10:01,2023-01-01 05:10:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4385,5.4817,5.97,7.71,11.95,36,,,,,,
2023-01-01 04:20:00,2023-01-01 05:20:00,,,,,,,,,,,,,,,,,,,,,,,,,51.4351,5.4799,3.47,6.16,17.44,2,,,,,,,51.4385,5.4816,4.83,7.26,11.47,36,51.4390,5.4649,3.40,4.76,12.66,25
2023-01-01 04:20:01,2023-01-01 05:20:01,51.4422,5.4844,6.01,8.97,12.80,5,51.4454,5.4854,3.86,6.12,9.18,42,51.4414,5.4715,4.90,7.85,17.37,12,51.4446,5.4788,4.05,6.67,9.60,30,,,,,,,51.4375,5.4516,4.25,7.32,11.49,26,,,,,,,,,,,,
2023-01-01 04:30:00,2023-01-01 05:30:00,51.4422,5.4844,5.88,7.76,12.79,5,51.4454,5.4854,4.25,6.58,11.29,43,51.4414,5.4715,4.86,7.73,12.97,12,51.4446,5.4788,4.95,7.22,20.20,30,,,,,,,51.4375,5.4516,3.94,5.29,9.68,27,51.4385,5.4816,4.24,6.64,10.21,36,,,,,,
2023-01-01 04:30:01,2023-01-01 05:30:01,,,,,,,,,,,,,,,,,,,,,,,,,51.4351,5.4799,4.08,6.60,12.45,5,,,,,,,,,,,,,51.4390,5.4649,3.43,5.38,11.12,25
2023-01-01 04:40:00,2023-01-01 05:40:00,51.4421,5.4845,5.66,7.94,14.80,6,51.4454,5.4854,4.10,6.02,11.43,43,,,,,,,51.4446,5.4788,4.86,7.59,12.84,31,51.4351,5.4799,3.61,5.70,12.01,6,51.4375,5.4516,3.28,4.63,9.21,27,51.4385,5.4815,6.09,7.93,11.97,38,51.4390,5.4649,3.09,4.59,10.78,24
2023-01-01 04:40:01,2023-01-01 05:40:01,,,,,,,,,,,,,51.4414,5.4715,4.66,7.25,15.91,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 04:50:00,2023-01-01 05:50:00,51.4421,5.4845,4.22,6.49,13.68,7,51.4454,5.4854,4.14,5.93,10.88,41,51.4414,5.4714,5.72,8.36,13.41,13,51.4446,5.4788,4.15,6.60,12.56,31,51.4351,5.4799,3.50,6.04,12.13,3,51.4375,5.4515,4.15,6.85,11.55,25,51.4385,5.4815,6.19,8.31,12.45,37,51.4390,5.4649,2.98,4.28,10.12,25
2023-01-01 05:00:00,2023-01-01 06:00:00,51.4421,5.4845,4.10,6.39,13.71,6,51.4454,5.4855,3.50,4.99,10.45,41,51.4414,5.4714,5.74,8.51,16.40,12,51.4444,5.4789,4.95,6.69,20.52,31,51.4351,5.4799,3.59,5.38,9.70,4,,,,,,,51.4385,5.4815,5.57,7.81,12.90,34,51.4390,5.4649,3.16,5.37,11.63,25
2023-01-01 05:00:01,2023-01-01 06:00:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4515,4.29,7.07,10.92,25,,,,,,,,,,,,
2023-01-01 05:10:00,2023-01-01 06:10:00,51.4421,5.4845,4.83,7.44,10.98,6,51.4454,5.4855,4.35,6.33,11.66,40,51.4414,5.4714,5.11,7.76,13.63,12,,,,,,,51.4351,5.4799,3.60,6.60,16.48,6,51.4375,5.4515,3.48,5.78,10.14,26,,,,,,,51.4390,5.4649,3.08,4.59,9.84,25
2023-01-01 05:10:01,2023-01-01 06:10:01,,,,,,,,,,,,,,,,,,,51.4444,5.4789,4.50,6.77,11.51,30,,,,,,,,,,,,,51.4385,5.4815,4.60,6.26,10.31,34,,,,,,
2023-01-01 05:20:00,2023-01-01 06:20:00,51.4421,5.4845,5.78,8.07,14.01,3,,,,,,,51.4414,5.4714,5.76,8.23,12.93,12,51.4444,5.4789,5.79,8.30,14.61,31,51.4351,5.4799,4.06,6.83,16.36,4,51.4375,5.4515,3.91,5.99,10.48,23,51.4385,5.4815,5.70,7.46,11.10,35,51.4390,5.4649,3.49,5.38,9.68,26
2023-01-01 05:20:01,2023-01-01 06:20:01,,,,,,,51.4454,5.4855,4.34,6.93,10.29,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 05:29:59,2023-01-01 06:29:59,,,,,,,51.4454,5.4855,3.85,6.12,9.03,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 05:30:00,2023-01-01 06:30:00,51.4421,5.4845,4.51,6.91,11.89,4,,,,,,,,,,,,,51.4444,5.4789,5.88,8.10,13.79,30,51.4351,5.4798,3.66,6.35,17.70,6,,,,,,,51.4386,5.4814,4.72,6.66,10.16,35,,,,,,
2023-01-01 05:30:01,2023-01-01 06:30:01,,,,,,,,,,,,,51.4414,5.4714,4.62,7.05,15.62,12,,,,,,,,,,,,,51.4375,5.4517,3.60,6.55,11.82,25,,,,,,,51.4390,5.4648,3.20,4.93,9.79,25
2023-01-01 05:40:00,2023-01-01 06:40:00,,,,,,,,,,,,,51.4414,5.4714,5.35,8.12,15.02,13,51.4444,5.4789,4.82,6.83,12.82,30,51.4351,5.4798,3.89,5.55,12.44,6,51.4375,5.4517,4.12,7.76,13.76,26,51.4386,5.4814,4.89,7.05,10.28,34,51.4390,5.4648,2.95,4.96,7.99,26
2023-01-01 05:40:01,2023-01-01 06:40:01,51.4421,5.4845,4.80,6.81,13.10,4,51.4454,5.4855,4.87,6.19,10.48,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 05:50:00,2023-01-01 06:50:00,51.4421,5.4845,5.53,9.44,14.73,5,51.4455,5.4855,4.68,6.64,10.69,41,51.4414,5.4715,5.64,8.83,18.60,14,51.4444,5.4789,5.36,8.61,12.02,33,51.4350,5.4797,4.22,7.05,10.99,3,51.4375,5.4517,3.93,6.64,11.34,25,,,,,,,51.4390,5.4648,4.01,5.79,10.94,25
2023-01-01 05:50:01,2023-01-01 06:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4385,5.4814,4.96,6.64,11.49,35,,,,,,
2023-01-01 06:00:00,2023-01-01 07:00:00,51.4421,5.4845,5.91,8.02,14.43,4,51.4455,5.4855,5.18,7.06,11.82,39,51.4414,5.4714,4.92,7.90,14.41,13,51.4445,5.4792,4.67,6.76,17.28,32,51.4350,5.4797,3.88,5.97,13.32,7,51.4375,5.4517,3.75,6.27,10.04,23,51.4385,5.4814,5.88,7.47,10.62,35,,,,,,
2023-01-01 06:00:01,2023-01-01 07:00:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4390,5.4649,3.45,5.25,10.92,26
2023-01-01 06:10:00,2023-01-01 07:10:00,51.4421,5.4845,6.41,7.19,12.70,5,51.4455,5.4855,4.25,5.40,9.29,40,51.4414,5.4714,4.28,7.61,14.27,13,,,,,,,51.4350,5.4797,4.12,5.85,13.33,6,51.4375,5.4517,3.75,6.45,11.52,24,51.4385,5.4814,5.26,7.44,10.56,34,51.4390,5.4649,3.99,5.55,10.53,26
2023-01-01 06:10:01,2023-01-01 07:10:01,,,,,,,,,,,,,,,,,,,51.4445,5.4792,4.85,7.14,14.81,30,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 06:20:00,2023-01-01 07:20:00,51.4421,5.4845,4.41,6.55,15.96,7,51.4455,5.4855,4.90,6.75,13.21,40,,,,,,,51.4445,5.4792,4.64,6.76,11.34,31,51.4350,5.4797,3.46,5.95,13.64,8,51.4375,5.4517,3.63,6.15,10.77,23,51.4385,5.4817,4.50,7.18,10.44,34,51.4390,5.4649,3.49,4.64,11.70,26
2023-01-01 06:20:01,2023-01-01 07:20:01,,,,,,,,,,,,,51.4414,5.4714,4.63,7.38,15.96,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 06:30:00,2023-01-01 07:30:00,51.4421,5.4845,4.53,7.80,11.85,8,51.4455,5.4855,4.61,6.49,10.27,39,51.4414,5.4714,5.17,7.41,16.33,13,,,,,,,,,,,,,,,,,,,51.4385,5.4816,5.07,8.08,10.54,35,,,,,,
2023-01-01 06:30:01,2023-01-01 07:30:01,,,,,,,,,,,,,,,,,,,51.4445,5.4792,6.07,8.37,11.64,31,51.4350,5.4797,3.75,6.53,11.48,3,51.4375,5.4518,3.38,5.37,9.72,25,,,,,,,51.4390,5.4649,2.93,4.78,10.75,26
2023-01-01 06:40:00,2023-01-01 07:40:00,51.4421,5.4845,5.68,7.55,13.65,6,51.4455,5.4855,3.86,5.76,11.17,39,51.4414,5.4714,4.62,7.07,13.72,14,51.4445,5.4792,5.66,7.81,11.70,30,51.4350,5.4797,4.42,6.25,17.22,6,51.4375,5.4518,3.56,5.93,12.05,24,51.4385,5.4815,4.57,6.32,8.48,34,51.4390,5.4649,2.62,4.30,7.87,26
2023-01-01 06:50:00,2023-01-01 07:50:00,51.4421,5.4845,4.20,5.64,14.83,4,51.4455,5.4855,5.01,6.43,10.36,39,51.4414,5.4714,5.48,8.61,14.16,14,51.4445,5.4792,5.36,8.08,14.64,31,51.4350,5.4797,4.02,6.78,14.22,6,51.4375,5.4517,3.84,6.73,13.70,24,,,,,,,51.4390,5.4649,3.81,5.87,9.69,26
2023-01-01 06:50:01,2023-01-01 07:50:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4385,5.4815,5.81,7.73,10.89,33,,,,,,
2023-01-01 07:00:00,2023-01-01 08:00:00,51.4421,5.4845,5.30,8.54,15.67,5,51.4455,5.4855,4.67,7.58,12.82,36,51.4414,5.4714,5.67,8.75,13.93,11,51.4445,5.4792,4.91,6.78,13.59,31,51.4350,5.4797,4.35,6.42,16.33,11,51.4375,5.4517,4.51,8.20,11.69,24,51.4385,5.4815,4.61,6.91,11.09,31,51.4390,5.4649,3.76,5.97,11.23,25
2023-01-01 07:10:00,2023-01-01 08:10:00,51.4421,5.4845,5.39,8.36,14.52,6,51.4455,5.4855,5.87,8.51,12.76,37,51.4414,5.4714,4.77,7.88,17.64,14,51.4445,5.4792,5.45,8.41,16.65,33,51.4350,5.4797,4.46,7.26,16.68,11,,,,,,,51.4383,5.4814,4.54,6.02,8.78,30,51.4390,5.4649,3.43,5.19,8.98,25
2023-01-01 07:10:01,2023-01-01 08:10:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4375,5.4517,3.84,6.76,11.98,25,,,,,,,,,,,,
2023-01-01 07:20:00,2023-01-01 08:20:00,51.4421,5.4845,4.64,8.46,12.08,5,51.4455,5.4855,4.94,6.50,10.59,39,,,,,,,51.4445,5.4792,5.80,8.26,15.87,33,51.4350,5.4797,5.03,7.64,18.19,9,51.4375,5.4517,4.59,6.78,10.68,27,51.4383,5.4814,5.16,7.43,11.53,31,51.4390,5.4649,4.41,6.06,12.80,26
2023-01-01 07:20:01,2023-01-01 08:20:01,,,,,,,,,,,,,51.4414,5.4714,5.68,10.09,16.20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-01 07:30:00,2023-01-01 08:30:00,51.4421,5.4845,4.50,7.70,13.65,6,51.4455,5.4855,4.57,6.47,11.11,40,51.4414,5.4714,4.95,8.59,16.92,15,,,,,,,,,,,,,51.4375,5.4517,4.08,6.91,11.23,27,51.4383,5.4814,5.61,7.08,11.32,32,,,,,,
2023-01-01 07:30:01,2023-01-01 08:30:01,,,,,,,,,,,,,,,,,,,51.4445,5.4792,5.71,8.26,14.29,32,51.4350,5.4797,3.77,6.53,8.41,11,,,,,,,,,,,,,51.4390,5.4649,3.69,5.39,9.61,26
2023-01-01 07:39:59,2023-01-01 08:39:59,,,,,,,,,,,,,,,,,,,,,,,,,51.4350,5.4797,4.97,8.10,12.92,8,,,,,,,,,,,,,,,,,,
2023-01-01 07:40:00,2023-01-01 08:40:00,51.4421,5.4845,4.70,7.43,12.41,7,51.4455,5.4855,4.86,7.02,11.40,39,51.4414,5.4714,5.14,8.89,13.57,14,51.4444,5.4792,6.64,8.76,13.50,33,,,,,,,51.4375,5.4517,3.42,5.63,9.83,26,,,,,,,51.4390,5.4649,3.42,5.22,9.36,26
2023-01-01 07:40:01,2023-01-01 08:40:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4383,5.4814,5.09,7.37,10.30,33,,,,,,
